rnd,Pick,Tm,Pos,To,CarAV,DrAV
1,1,CLE,DE,2020,35,35
1,2,CHI,QB,2020,33,33
1,3,SFO,DE,2020,14,14
1,4,JAX,RB,2020,25,20
1,5,TEN,WR,2020,25,25
1,6,NYJ,S,2020,35,28
1,7,LAC,WR,2020,20,20
1,8,CAR,RB,2020,41,41
1,9,CIN,WR,2020,5,5
1,10,KAN,QB,2020,54,54
1,11,NOR,CB,2020,26,26
1,12,HOU,QB,2020,52,52
1,13,ARI,LB,2020,18,18
1,14,PHI,DE,2020,17,17
1,15,IND,S,2020,14,14
1,16,BAL,CB,2020,28,28
1,17,WAS,DE,2020,26,26
1,18,TEN,CB,2020,15,15
1,19,TAM,TE,2020,11,11
1,20,DEN,T,2020,30,30
1,21,DET,LB,2020,22,22
1,22,MIA,OLB,2020,8,7
1,23,NYG,TE,2020,18,18
1,24,OAK,CB,2019,9,7
1,25,CLE,S,2020,20,10
1,26,ATL,DE,2020,13,13
1,27,BUF,CB,2020,40,40
1,28,DAL,DE,2020,9,6
1,29,CLE,TE,2020,9,9
1,30,PIT,OLB,2020,47,47
1,31,SFO,LB,2018,8,8
1,32,NOR,T,2020,52,52
2,33,GNB,CB,2020,13,13
2,34,JAX,T,2020,22,22
2,35,SEA,DT,,,
2,36,ARI,S,2020,33,33
2,37,BUF,WR,2020,10,9
2,38,LAC,G,2020,9,9
2,39,NYJ,S,2020,19,19
2,40,CAR,WR,2020,19,19
2,41,MIN,RB,2020,36,36
2,42,NOR,S,2020,20,20
2,43,PHI,CB,2020,7,4
2,44,LAR,TE,2020,11,11
2,45,CHI,TE,2020,3,2
2,46,IND,CB,2020,5,5
2,47,BAL,OLB,2020,9,9
2,48,CIN,RB,2020,27,27
2,49,WAS,OLB,2020,6,6
2,50,TAM,S,2018,8,8
2,51,DEN,DE,2020,7,7
2,52,CLE,QB,2018,6,5
2,53,DET,CB,2018,3,3
2,54,MIA,LB,2020,13,11
2,55,NYG,DT,2020,27,27
2,56,OAK,S,2018,1,1
2,57,HOU,LB,2020,27,27
