rnd,Pick,Tm,Pos,To,CarAV,DrAV
6,208,TAM,WR,2020,7,7
6,209,SEA,DT,,,
6,210,CIN,LB,,,
6,211,CIN,RB,,,
6,212,CAR,T,2020,6,6
6,213,DAL,S,2020,5,5
6,214,KAN,RB,2020,2,2
7,215,TAM,DT,,,
7,216,KAN,G,2020,6,6
7,217,MIN,CB,2020,3,3
7,218,DAL,RB,,,
7,219,PIT,T,2020,0,0
7,220,HOU,RB,2020,0,0
7,221,CLE,CB,,,
7,222,CHI,RB,2019,1,
7,223,CIN,CB,,,
7,224,DET,TE,2020,0,0
7,225,BUF,DE,2020,3,3
7,226,GNB,LB,2020,3,3
7,227,WAS,CB,2020,5,5
7,228,BUF,TE,2019,1,1
7,229,DET,DE,,,
7,230,OAK,DE,2020,0,
7,231,NOR,TE,,,
7,232,NYG,T,,,
7,233,MIA,RB,2020,0,0
7,234,MIA,RB,2020,8,8
7,235,JAX,DT,2019,0,0
7,236,SEA,WR,2019,0,0
7,237,CAR,WR,2020,0,
7,238,CHI,CB,,,
7,239,MIN,WR,,,
7,240,IND,T,,,
7,241,DAL,DE,,,
7,242,LAC,DT,2020,1,1
7,243,LAR,S,2020,2,2
7,244,NOR,LB,2020,1,1
7,245,NYG,DT,,,
7,246,IND,C,2020,0,
7,247,MIN,WR,2020,5,5
7,248,ARI,T,2019,1,1
7,249,ARI,DE,2020,0,0
7,250,MIN,LS,2020,1,1
7,251,LAR,LB,2020,1,
7,252,NWE,CB,2020,2,
7,253,WAS,DE,2020,1,
7,254,ARI,TE,2020,0,
