rnd,Pick,Tm,Pos,To,CarAV,DrAV
1,1,CLE,QB,2020,31,31
1,2,NYG,RB,2020,23,23
1,3,NYJ,QB,2020,15,15
1,4,CLE,CB,2020,16,16
1,5,DEN,DE,2020,18,18
1,6,IND,G,2020,43,43
1,7,BUF,QB,2020,35,35
1,8,CHI,ILB,2020,29,29
1,9,SFO,T,2020,22,22
1,10,ARI,QB,2019,3,2
1,11,MIA,S,2020,36,9
1,12,TAM,DT,2020,13,13
1,13,WAS,DT,2020,21,21
1,14,NOR,DE,2020,9,9
1,15,OAK,T,2020,22,22
1,16,BUF,ILB,2020,32,32
1,17,LAC,S,2019,11,11
1,18,GNB,CB,2020,20,20
1,19,DAL,OLB,2020,19,19
1,20,DET,C,2020,23,23
1,21,CIN,C,2020,10,10
1,22,TEN,ILB,2020,20,20
1,23,NWE,T,2020,8,8
1,24,CAR,WR,2020,25,25
1,25,BAL,TE,2020,11,6
1,26,ATL,WR,2020,24,24
1,27,SEA,RB,2020,7,7
1,28,PIT,S,2020,16,16
1,29,JAX,DT,2020,9,9
1,30,MIN,CB,2020,5,5
1,31,NWE,RB,2020,15,15
1,32,BAL,QB,2020,48,48
2,33,CLE,C,2020,11,1
2,34,NYG,G,2020,17,17
2,35,CLE,RB,2020,25,25
2,36,IND,LB,2020,42,42
2,37,IND,G,2020,20,20
2,38,TAM,RB,2020,15,15
2,39,CHI,C,2020,13,13
2,40,DEN,WR,2020,14,14
2,41,TEN,OLB,2020,18,18
2,42,MIA,TE,2020,12,12
2,43,DET,RB,2020,11,11
2,44,SFO,WR,2020,5,4
2,45,GNB,CB,2020,7,7
2,46,KAN,DE,2018,3,3
2,47,ARI,WR,2020,15,15
2,48,LAC,OLB,2020,10,10
2,49,PHI,TE,2020,11,11
2,50,DAL,T,2020,16,16
2,51,CHI,WR,2020,12,12
2,52,IND,OLB,2020,4,4
2,53,TAM,CB,2020,4,3
2,54,CIN,S,2020,21,21
2,55,CAR,CB,2020,15,15
2,56,NWE,CB,2020,3,
2,57,OAK,DT,2020,12,8
2,58,ATL,CB,2020,10,10
2,59,WAS,RB,2019,2,2
2,60,PIT,WR,2020,11,11
2,61,JAX,WR,2020,13,13
2,62,MIN,T,2020,22,22
2,63,TAM,CB,2020,14,14
2,64,IND,DE,2020,7,7
3,65,OAK,T,2020,10,10
3,66,NYG,DE,2020,9,9
3,67,CLE,DE,2019,5,5
3,68,HOU,S,2020,14,14
3,69,NYG,DT,2020,11,11
3,70,SFO,OLB,2020,33,33
3,71,DEN,RB,2020,9,9
3,72,NYJ,DT,2020,8,8
3,73,MIA,OLB,2020,19,19
3,74,WAS,T,2020,4,4
3,75,KAN,DT,2020,17,17
3,76,PIT,QB,2020,4,4
3,77,CIN,DE,2020,16,16
3,78,CIN,OLB,2020,2,1
3,79,SEA,DT,2020,6,6
3,80,HOU,T,2020,7,3
3,81,DAL,WR,2020,18,18
3,82,DET,S,2020,7,7
3,83,BAL,T,2020,30,30
3,84,LAC,DT,2020,12,12
3,85,CAR,CB,2020,1,1
3,86,BAL,TE,2020,24,24
3,87,OAK,DE,2020,6,6
3,88,GNB,ILB,2020,5,5
3,89,LAR,T,2020,9,9
3,90,ATL,DT,2020,3,3
3,91,NOR,WR,2020,11,11
3,92,PIT,T,2020,9,9
3,93,JAX,S,2020,12,9
3,94,TAM,T,2020,16,16
3,95,SFO,S,2020,7,7
3,96,BUF,DT,2020,4,4
3,97,ARI,C,2020,13,13
3,98,HOU,TE,2020,9,9
3,99,DEN,CB,2020,9,5
3,100,KAN,OLB,2020,4,4
4,101,CAR,TE,2020,5,5
4,102,MIN,DE,2020,5,5
4,103,HOU,WR,2020,8,8
4,104,IND,RB,2020,17,17
4,105,CLE,WR,2020,5,5
4,106,DEN,ILB,2020,15,15
4,107,NYJ,TE,2020,6,6
4,108,NYG,QB,2018,0,0
4,109,WAS,S,2020,5,5
4,110,OAK,CB,2019,1,1
4,111,LAR,C,2019,5,5
4,112,CIN,RB,2019,3,1
4,113,DEN,WR,2020,6,6
4,114,DET,DE,2020,7,7
4,115,CHI,LB,2020,3,3
4,116,DAL,DE,2020,7,7
4,117,TAM,S,2020,14,14
4,118,BAL,CB,2020,4,4
4,119,LAC,S,2020,11,11
4,120,SEA,TE,2020,6,6
4,121,BUF,CB,2020,11,11
4,122,BAL,LB,2020,12,6
4,123,MIA,TE,2020,2,2
4,124,KAN,S,2020,2,2
4,125,PHI,CB,2020,10,10
4,126,ATL,RB,2020,6,6
4,127,NOR,T,,,
4,128,SFO,DT,2020,2,2
4,129,JAX,T,2020,3,3
4,130,PHI,DE,2020,6,6
4,131,MIA,RB,2020,5,3
4,132,BAL,WR,2020,0,0
4,133,GNB,WR,2018,0,0
4,134,ARI,RB,2020,11,11
4,135,LAR,DE,2020,4,1
4,136,CAR,OLB,2020,3,3
4,137,DAL,TE,2020,5,5
5,138,GNB,G,,,
5,139,NYG,DT,2019,2,2
5,140,OAK,DT,2020,10,10
5,141,SEA,OLB,2020,3,3
5,142,SFO,CB,2020,6,2
5,143,NWE,ILB,2020,14,14
5,144,TAM,WR,2020,2,2
5,145,CHI,DT,2020,17,17
5,146,SEA,S,2020,14,14
5,147,LAR,ILB,2020,7,7
5,148,PIT,S,2020,1,1
5,149,SEA,P,2020,8,8
5,150,CLE,LB,2020,6,4
5,151,CIN,CB,2020,5,0
5,152,TEN,CB,2020,2,2
5,153,DET,T,2020,9,9
5,154,BUF,CB,2020,3,3
5,155,LAC,C,2020,7,7
5,156,DEN,TE,2020,1,1
5,157,MIN,TE,2020,4,4
5,158,CIN,DE,2020,2,2
5,159,IND,WR,2020,0,0
5,160,LAR,DE,2020,2,2
5,161,CAR,LB,2020,8,8
5,162,BAL,WR,,,
5,163,WAS,DT,2020,6,6
5,164,NOR,S,2020,1,
5,165,PIT,TE,2020,7,7
5,166,BUF,G,2020,14,2
5,167,MIN,K,2020,8,-1
5,168,SEA,T,2020,5,5
5,169,IND,RB,2020,8,8
5,170,CIN,CB,2020,7,7
5,171,DAL,QB,,,
5,172,GNB,P,2020,6,6
5,173,OAK,P,2020,2,2
5,174,GNB,WR,2020,15,15
6,175,CLE,WR,2020,3,3
6,176,LAR,RB,2019,1,1
6,177,HOU,DE,2018,1,1
6,178,NWE,ILB,,,
6,179,NYJ,CB,2020,1,1
6,180,NYJ,DT,2020,7,7
6,181,CHI,DE,2020,1,0
6,182,ARI,CB,,,
6,183,DEN,G,2018,0,0
6,184,SFO,S,2020,7,7
6,185,IND,WR,2020,1,0
6,186,SEA,LB,2020,5,2
6,187,BUF,WR,2020,1,0
6,188,CLE,CB,2019,1,
6,189,NOR,CB,2018,0,
6,190,BAL,S,2020,6,6
6,191,LAC,WR,,,
6,192,LAR,T,2019,1,1
6,193,DAL,LB,2019,0,0
6,194,ATL,WR,2020,11,11
6,195,LAR,DT,2020,16,16
6,196,KAN,WR,2020,1,1
6,197,WAS,LB,2020,8,8
6,198,KAN,DT,2020,1,
6,199,TEN,QB,2019,1,
6,200,ATL,S,2020,15,15
6,201,NOR,RB,2020,6,
6,202,TAM,ILB,2020,0,0
6,203,JAX,QB,,,
6,204,NYJ,RB,2020,2,2
6,205,LAR,DE,2018,0,0
6,206,PHI,T,2020,5,5
6,207,GNB,WR,2020,3,3
6,208,DAL,WR,2020,1,1
6,209,MIA,CB,2020,2,1
6,210,NWE,WR,2020,4,
6,211,HOU,TE,2020,2,2
6,212,BAL,T,2020,0,
6,213,MIN,G,2018,1,
6,214,HOU,LB,2020,2,2
6,215,BAL,C,2020,19,19
6,216,OAK,LB,,,
6,217,DEN,ILB,2019,1,1
6,218,MIN,DE,,,
7,219,NWE,QB,,,
7,220,SEA,QB,,,
7,221,IND,LB,2020,7,7
7,222,HOU,CB,,,
7,223,SFO,DT,2019,1,1
7,224,CHI,WR,2020,1,1
7,225,MIN,LB,2020,6,1
7,226,DEN,RB,,,
7,227,MIA,LB,2019,0,
7,228,OAK,WR,2019,2,2
7,229,MIA,K,2020,12,12
7,230,JAX,OLB,2020,9,9
7,231,LAR,OLB,2019,1,1
7,232,GNB,DE,2018,0,0
7,233,PHI,T,2020,4,4
7,234,CAR,ILB,2020,2,1
7,235,IND,LB,2020,5,5
7,236,DAL,RB,2020,2,
7,237,DET,RB,2019,0,0
7,238,BAL,DE,2020,7,0
7,239,GNB,LS,2020,3,3
7,240,SFO,WR,2020,7,7
7,241,WAS,CB,2020,2,2
7,242,CAR,DT,,,
7,243,NWE,CB,2020,4,1
7,244,LAR,DE,2018,1,1
7,245,NOR,C,2020,3,3
7,246,PIT,DT,,,
7,247,JAX,P,2020,7,7
7,248,GNB,OLB,,,
7,249,CIN,QB,2020,0,
7,250,NWE,TE,2020,3,3
7,251,LAC,RB,2020,7,7
7,252,CIN,G,,,
7,253,CIN,WR,2020,5,5
7,254,ARI,T,2020,3,2
7,255,BUF,WR,,,
7,256,WAS,WR,2020,2,2
