rnd,Pick,Tm,Pos,To,CarAV,DrAV
5,164,PHI,T,2020,17,12
5,165,KAN,WR,2020,57,57
5,166,HOU,NT,2020,24,23
5,167,ARI,S,2020,4,
5,168,CLE,G,2017,8,8
5,169,DET,LB,2016,2,2
5,170,ARI,T,2020,0,0
5,171,SEA,RB,2020,15,3
5,172,CLE,WR,2020,11,11
5,173,CLE,DB,2016,0,0
5,174,SFO,T,,,
5,175,SDG,OLB,2019,15,15
6,176,DEN,FB,2020,2,2
6,177,LAR,TE,2020,0,0
6,178,KAN,CB,2019,1,1
6,179,SDG,P,2018,5,5
6,180,MIN,WR,,,
6,181,JAX,OLB,2017,1,
6,182,BAL,RB,2018,0,
6,183,TAM,OLB,2020,4,4
6,184,NYG,TE,2019,2,2
6,185,CHI,S,2020,5,5
6,186,MIA,WR,2020,12,12
6,187,WAS,QB,2020,1,
6,188,MIN,TE,2018,1,1
6,189,DAL,CB,2020,16,16
6,190,LAR,ILB,2017,4,4
6,191,DET,QB,2017,0,0
6,192,BUF,WR,,,
6,193,TEN,G,2016,0,0
6,194,OAK,OLB,2017,7,7
6,195,ATL,G,2020,23,18
6,196,PHI,CB,2020,4,0
6,197,TAM,FB,2019,1,
6,198,SDG,FB,2020,1,1
6,199,CIN,WR,2019,3,3
6,200,GNB,T,2017,2,2
6,201,JAX,QB,2020,4,
6,202,DET,DT,2020,9,8
6,203,KAN,DE,2016,1,1
6,204,MIA,S,2019,4,1
6,205,ARI,CB,2018,1,1
6,206,LAR,WR,2020,2,1
6,207,SFO,QB,2020,6,
6,208,NWE,OLB,2020,13,
6,209,BAL,CB,2019,3,2
6,210,DET,LS,,,
6,211,SFO,RB,,,
6,212,DAL,S,2020,4,3
6,213,SFO,WR,2016,1,1
6,214,NWE,ILB,2020,27,20
6,215,SEA,C,2020,7,7
6,216,DAL,RB,2018,0,0
6,217,DAL,TE,2018,0,0
6,218,BUF,CB,2020,3,1
6,219,DEN,S,2020,9,8
6,220,PIT,OLB,,,
6,221,NWE,G,2020,20,13
7,222,TEN,OLB,2018,1,1
7,223,MIA,QB,,,
7,224,SDG,G,,,
7,225,NWE,WR,,,
7,226,JAX,DE,2018,1,
7,227,MIN,OLB,2020,11,8
7,228,DEN,P,2020,9,4
7,229,PIT,WR,2016,0,0
7,230,CHI,WR,2016,0,0
7,231,MIA,TE,2016,0,0
7,232,WAS,ILB,,,
7,233,PHI,S,2020,20,20
7,234,OAK,G,2017,4,4
7,235,NYJ,P,2019,9,9
7,236,DET,RB,2020,4,2
7,237,NOR,RB,2017,0,0
7,238,ATL,WR,,,
7,239,IND,LB,2018,1,0
7,240,PHI,DE,,,
7,241,NYJ,WR,2018,1,1
7,242,WAS,RB,,,
7,243,SEA,WR,,,
7,244,MIN,S,2020,6,4
7,245,CIN,S,2020,7,7
7,246,PIT,OLB,2020,6,5
7,247,SEA,RB,,,
7,248,IND,C,2020,25,1
7,249,SFO,CB,2016,0,0
7,250,CLE,ILB,2017,1,
7,251,PHI,ILB,2020,8,2
7,252,CAR,TE,,,
7,253,TEN,CB,2017,0,0
