rnd,Pick,Tm,Pos,To,CarAV,DrAV
1,1,LAR,QB,2020,49,49
1,2,PHI,QB,2020,45,45
1,3,SDG,DE,2020,40,40
1,4,DAL,RB,2020,54,54
1,5,JAX,CB,2020,53,30
1,6,BAL,T,2020,42,42
1,7,SFO,DE,2020,49,36
1,8,TEN,T,2020,46,33
1,9,CHI,OLB,2020,36,26
1,10,NYG,CB,2020,16,8
1,11,TAM,CB,2020,17,11
1,12,NOR,DT,2020,17,17
1,13,MIA,T,2020,36,16
1,14,OAK,S,2020,16,13
1,15,CLE,WR,2018,6,5
1,16,DET,T,2020,36,36
1,17,ATL,S,2020,17,17
1,18,IND,C,2020,36,36
1,19,BUF,DE,2020,16,11
1,20,NYJ,OLB,2020,20,18
1,21,HOU,WR,2020,24,24
1,22,WAS,WR,2019,9,9
1,23,MIN,WR,2020,6,6
1,24,CIN,CB,2020,16,16
1,25,PIT,CB,2019,14,14
1,26,DEN,QB,2017,2,2
1,27,GNB,DT,2020,34,34
1,28,SFO,G,2020,5,5
1,29,ARI,DT,2019,6,6
1,30,CAR,DT,2020,10,7
1,31,SEA,G,2020,34,27
2,32,CLE,DE,2020,26,15
2,33,TEN,DE,2017,2,2
2,34,DAL,OLB,2020,30,30
2,35,SDG,TE,2020,18,18
2,36,JAX,OLB,2020,41,41
2,37,KAN,DT,2020,39,39
2,38,MIA,CB,2020,35,35
2,39,TAM,DE,2019,5,5
2,40,NYG,WR,2020,25,25
2,41,BUF,ILB,2020,17,
2,42,BAL,DE,2020,11,3
2,43,TEN,NT,2020,12,10
2,44,OAK,DE,2020,9,6
2,45,TEN,RB,2020,43,43
2,46,DET,DT,2020,20,19
2,47,NOR,WR,2020,58,58
2,48,GNB,T,2020,8,7
2,49,SEA,DT,2020,29,29
2,50,HOU,G,2020,26,26
2,51,NYJ,QB,,,
2,52,ATL,OLB,2020,35,35
2,53,WAS,OLB,2018,3,2
2,54,MIN,CB,2020,11,6
2,55,CIN,WR,2020,27,27
2,56,CHI,G,2020,30,30
2,57,IND,S,2020,5,5
2,58,PIT,CB,2020,18,18
2,59,TAM,K,2016,0,0
2,60,NWE,CB,2019,4,1
2,61,NOR,S,2020,21,14
2,62,CAR,CB,2020,28,19
2,63,DEN,DT,2020,20,15
3,64,TEN,S,2020,34,34
3,65,CLE,DE,2020,18,6
3,66,SDG,C,2017,0,
3,67,DAL,DT,2020,28,25
3,68,SFO,CB,2020,3,
3,69,JAX,DE,2020,37,31
3,70,BAL,DE,2019,2,1
3,71,NYG,S,2020,11,5
3,72,CHI,DT,2020,8,7
3,73,MIA,RB,2020,27,15
3,74,KAN,CB,2020,2,
3,75,OAK,DE,2020,5,2
3,76,CLE,T,2017,6,6
3,77,CAR,CB,2020,19,11
3,78,NWE,G,2020,40,40
3,79,PHI,G,2020,17,17
3,80,BUF,DT,2018,9,9
3,81,ATL,TE,2020,22,19
3,82,IND,T,2020,9,9
3,83,NYJ,OLB,2020,27,27
3,84,WAS,CB,2020,18,12
3,85,HOU,WR,2017,2,2
3,86,MIA,WR,2018,2,2
3,87,CIN,ILB,2020,20,17
3,88,GNB,OLB,2020,15,9
3,89,PIT,DT,2020,30,25
3,90,SEA,RB,2020,5,5
3,91,NWE,QB,2020,23,2
3,92,ARI,CB,2020,4,4
3,93,CLE,QB,2018,5,3
3,94,SEA,TE,2020,6,4
3,95,DET,C,2020,29,25
3,96,NWE,DT,2018,3,3
3,97,SEA,G,2018,4,4
3,98,DEN,S,2020,33,33
4,99,CLE,OLB,2020,32,25
4,100,OAK,QB,2016,0,0
4,101,DAL,DE,2017,0,0
4,102,SDG,ILB,2017,1,1
4,103,JAX,DT,2020,6,2
4,104,BAL,CB,2020,10,10
4,105,KAN,G,2019,4,3
4,106,KAN,CB,2020,10,5
4,107,BAL,WR,2020,4,4
4,108,TAM,CB,2020,8,8
4,109,NYG,OLB,2020,21,9
4,110,LAR,TE,2020,15,15
4,111,DET,S,2020,6,6
4,112,NWE,WR,2016,4,4
4,113,CHI,ILB,2020,19,15
4,114,CLE,WR,2017,3,3
4,115,ATL,OLB,2020,33,25
4,116,IND,DT,2020,8,5
4,117,LAR,WR,2020,6,3
4,118,NYJ,CB,2020,11,3
4,119,HOU,RB,2020,1,0
4,120,NOR,DT,2020,22,22
4,121,MIN,T,2016,0,0
4,122,CIN,NT,2019,14,14
4,123,PIT,T,2020,2,2
4,124,CHI,S,2020,6,6
4,125,IND,ILB,2018,13,9
4,126,KAN,WR,2020,13,13
4,127,CHI,CB,2018,2,1
4,128,ARI,C,2019,12,6
4,129,CLE,S,2018,8,8
4,130,BAL,T,2020,14,8
4,131,GNB,LB,2020,38,29
4,132,BAL,DT,2020,4,4
4,133,SFO,CB,2020,9,6
4,134,BAL,RB,2018,5,5
4,135,DAL,QB,2020,61,61
4,136,DEN,RB,2020,15,11
4,137,GNB,DE,2020,27,27
4,138,CLE,TE,2020,5,4
4,139,BUF,QB,2016,0,0
5,140,TEN,WR,2020,11,11
5,141,CAR,CB,2016,1,1
5,142,SFO,DE,2019,6,6
5,143,OAK,RB,2020,12,11
5,144,DEN,G,2020,19,14
5,145,SFO,T,2016,1,1
5,146,BAL,DE,2020,35,35
5,147,SEA,DT,2020,14,12
5,148,TAM,T,2019,12,12
5,149,NYG,RB,2019,5,5
5,150,CHI,RB,2020,24,21
5,151,DET,G,2020,9,9
5,152,WAS,DT,2020,18,18
5,153,PHI,RB,2020,10,9
5,154,CLE,WR,2016,0,0
5,155,IND,T,2020,20,17
5,156,BUF,RB,2020,3,1
5,157,TEN,CB,2020,11,7
5,158,NYJ,T,2020,21,16
5,159,HOU,S,2016,0,0
5,160,MIN,OLB,2019,4,4
5,161,CIN,G,2018,2,2
5,162,KAN,QB,2017,2,
5,163,GNB,WR,2019,2,1
